player_id,player_name
CSK100,MS DHONI
CSK101,DEVON CONWAY
CSK102,RUTURAJ GAIKWAD
CSK103,SUBHRANSHU SENAPATI
CSK104,AMBATI RAYUDU
CSK105,AJINKYA RAHANE
CSK106,SHAIK RASHEED
CSK107,RAVINDRA JADEJA
CSK108,DWAINE PRETORIUS
CSK109,MITCHELL SANTNER
CSK110,K BHAGATH VARMA
CSK111,MOEEN ALI
CSK112,SHIVAM DUBE
CSK113,BEN STOKES
CSK114,NISHANT SINDHU
CSK115,AJAY MANDAL
CSK116,AKASH SINGH
CSK117,RAJVARDHAN HANGARGEKAR
CSK118,DEEPAK CHAHAR
CSK119,MAHEESH THEEKSHANA
CSK120,MUKESH CHOUDHARY
CSK121,PRASHANT SOLANKI
CSK122,SIMARJEET SINGH
CSK123,TUSHAR DESHPANDE
CSK124,MATHEESHA PATHIRANA
CSK125,SISANDA MAGALA
CSK126,KYLE JAMIESON
DC100,RISHABH PANT
DC101,DAVID WARNER
DC102,PRITHVI SHAW
DC103,ROVMAN POWELL
DC104,RIPAL PATEL
DC105,SARFARAZ KHAN
DC106,YASH DHULL
DC107,AMAN KHAN
DC108,PHIL SALT
DC109,MANISH PANDEY
DC110,RILEE ROSSOUW
DC111,ABISHEK POREL
DC112,AXAR PATEL
DC113,LALIT YADAV
DC114,MITCHELL MARSH
DC115,KAMLESH NAGARKOTI
DC116,PRAVIN DUBEY
DC117,VICKY OSTWAL
DC118,ANRICH NORTJE
DC119,CHETAN SAKARIYA
DC120,KULDEEP YADAV
DC121,LUNGI NGIDI
DC122,MUSTAFIZUR RAHMAN
DC123,KHALEEL AHMED
DC124,ISHANT SHARMA
DC125,MUKESH KUMAR
GT100,DAVID MILLER
GT101,SHUBMAN GILL
GT102,MATTHEW WADE
GT103,WRIDDHIMAN SAHA
GT104,KANE WILLIAMSON
GT105,URVIL PATEL
GT106,K.S BHARAT
GT107,HARDIK PANDYA
GT108,ABHINAV MANOHAR
GT109,B. SAI SUDHARSAN
GT110,DARSHAN NALKANDE
GT111,VIJAY SHANKAR
GT112,ODEAN SMITH
GT113,DASUN SHANAKA
GT114,JAYANT YADAV
GT115,PRADEEP SANGWAN
GT116,RAHUL TEWATIA
GT117,SHIVAM MAVI
GT118,ALZARRI JOSEPH
GT119,MOHAMMAD SHAMI
GT120,NOOR AHMAD
GT121,SAI KISHORE
GT122,RASHID KHAN
GT123,YASH DAYAL
GT124,JOSHUA LITTLE
GT125,MOHIT SHARMA
KKR100,NITISH RANA
KKR101,RINKU SINGH
KKR102,RAHMANULLAH GURBAZ
KKR103,SHREYAS IYER
KKR104,NARAYAN JAGADEESAN
KKR105,LITTON DAS
KKR106,MANDEEP SINGH
KKR107,JASON ROY
KKR108,DAVID WIESE
KKR109,ANUKUL ROY
KKR110,ANDRE RUSSELL
KKR111,VENKATESH IYER
KKR112,SHAKIB AL HASAN
KKR113,KULWANT KHEJROLIYA
KKR114,SUYASH SHARMA
KKR115,LOCKIE FERGUSON
KKR116,UMESH YADAV
KKR117,HARSHIT RANA
KKR118,TIM SOUTHEE
KKR119,SHARDUL THAKUR
KKR120,SUNIL NARINE
KKR121,VAIBHAV ARORA
KKR122,VARUN CHAKARAVARTHY
LSG100,KL RAHUL
LSG101,MANAN VOHRA
LSG102,QUINTON DE KOCK
LSG103,NICHOLAS POORAN
LSG104,AYUSH BADONI
LSG105,DEEPAK HOODA
LSG106,KRISHNAPPA GOWTHAM
LSG107,KARAN SHARMA
LSG108,KRUNAL PANDYA
LSG109,KYLE MAYERS
LSG110,MARCUS STOINIS
LSG111,ROMARIO SHEPHERD
LSG112,DANIEL SAMS
LSG113,PRERAK MANKAD
LSG114,SWAPNIL SINGH
LSG115,YUDHVIR SINGH
LSG116,AVESH KHAN
LSG117,MARK WOOD
LSG118,MAYANK YADAV
LSG119,MOHSIN KHAN
LSG120,RAVI BISHNOI
LSG121,JAYDEV UNADKAT
LSG122,YASH THAKUR
LSG123,AMIT MISHRA
LSG124,NAVEEN UL HAQ
MI100,ROHIT SHARMA
MI101,DEWALD BREVIS
MI102,SURYAKUMAR YADAV
MI103,ISHAN KISHAN
MI104,N. TILAK VARMA
MI105,RAMANDEEP SINGH
MI106,TIM DAVID
MI107,TRISTAN STUBBS
MI108,VISHNU VINOD
MI109,ARJUN TENDULKAR
MI110,JOFRA ARCHER
MI111,MOHD. ARSHAD KHAN
MI112,CAMERON GREEN
MI113,SHAMS MULANI
MI114,NEHAL WADHERA
MI115,DUAN JANSEN
MI116,HRITHIK SHOKEEN
MI117,JASPRIT BUMRAH
MI118,RILEY MEREDITH
MI119,JHYE RICHARDSON
MI120,KUMAR KARTIKEYA SINGH
MI121,PIYUSH CHAWLA
MI122,SANDEEP WARRIER
MI123,AKASH MADHWAL
MI124,JASON BEHRENDORFF
MI125,RAGHAV GOYAL
PBKS100,SHIKHAR DHAWAN
PBKS101,BHANUKA RAJAPAKSA
PBKS102,JITESH SHARMA
PBKS103,JONNY BAIRSTOW
PBKS104,PRABHSIMRAN SINGH
PBKS105,LIAM LIVINGSTONE
PBKS106,SHAHRUKH KHAN
PBKS107,MATTHEW WILLIAM SHORT
PBKS108,HARPREET BHATIA
PBKS109,ATHARVA TAIDE
PBKS110,RAJ ANGAD BAWA
PBKS111,RISHI DHAWAN
PBKS112,SAM CURRAN
PBKS113,SIKANDAR RAZA
PBKS114,MOHIT RATHEE
PBKS115,SHIVAM SINGH
PBKS116,HARPREET BRAR
PBKS117,ARSHDEEP SINGH
PBKS118,BALTEJ DHANDA
PBKS119,KAGISO RABADA
PBKS120,NATHAN ELLIS
PBKS121,RAHUL CHAHAR
PBKS122,GURNOOR SINGH BRAR
PBKS123,VIDWATH KAVERAPPA
RR100,SANJU SAMSON
RR101,DEVDUTT PADIKKAL
RR102,JOS BUTTLER
RR103,SHIMRON HETMYER
RR104,YASHASVI JAISWAL
RR105,DHRUV JUREL
RR106,RIYAN PARAG
RR107,KUNAL RATHORE
RR108,DONOVAN FERREIRA
RR109,JOE ROOT 
RR110,RAVICHANDRAN ASHWIN
RR111,JASON HOLDER
RR112,AKASH VASHISHT
RR113,ABDUL P A
RR114,KC CARIAPPA
RR115,KULDEEP SEN
RR116,KULDIP YADAV
RR117,NAVDEEP SAINI
RR118,OBED MCCOY
RR119,KM ASIF
RR120,PRASIDH KRISHNA
RR121,SANDEEP SHARMA
RR122,TRENT BOULT
RR123,MURUGAN ASHWIN
RR124,YUZVENDRA CHAHAL
RR125,ADAM ZAMPA
RCB100,FAF DU PLESSIS
RCB101,FINN ALLEN
RCB102,RAJAT PATIDAR
RCB103,VIRAT KOHLI
RCB104,ANUJ RAWAT
RCB105,DINESH KARTHIK
RCB106,SUYASH S PRABHUDESSAI
RCB107,WILL JACKS
RCB108,DAVID WILLEY
RCB109,GLENN MAXWELL
RCB110,MAHIPAL LOMROR
RCB111,WANINDU HASARANGA
RCB112,KARN SHARMA
RCB113,MICHAEL BRACEWELL
RCB114,SONU YADAV
RCB115,MANOJ BHANDAGE
RCB116,HARSHAL PATEL
RCB117,SHAHBAZ AHAMAD
RCB118,AKASH DEEP
RCB119,JOSH HAZLEWOOD
RCB120,SIDDHARTH KAUL
RCB121,MOHAMMED SIRAJ
RCB122,REECE TOPLEY
RCB123,HIMANSHU SHARMA
RCB124,RAJAN KUMAR
RCB125,VYSHAK VIJAY KUMAR
RCB126,WAYNE PARNELL
RCB127,AVINASH SINGH
SRH100,ABDUL SAMAD
SRH101,AIDEN MARKRAM
SRH102,RAHUL TRIPATHI
SRH103,GLENN PHILLIPS
SRH104,HARRY BROOK
SRH105,MAYANK AGARWAL
SRH106,HEINRICH KLAASEN
SRH107,ANMOLPREET SINGH
SRH108,UPENDRA SINGH YADAV
SRH109,NITISH KUMAR REDDY
SRH110,ABHISHEK SHARMA
SRH111,MARCO JANSEN
SRH112,WASHINGTON SUNDAR
SRH113,VIVRANT SHARMA
SRH114,MAYANK DAGAR
SRH115,SAMARTH VYAS
SRH116,SANVIR SINGH
SRH117,BHUVNESHWAR KUMAR
SRH118,FAZALHAQ FAROOQI
SRH119,KARTIK TYAGI
SRH120,T NATARAJAN
SRH121,UMRAN MALIK
SRH122,AKEAL HOSEIN
SRH123,ADIL RASHID
SRH124,MAYANK MARKANDE
